,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,y
0,16.0,26.0,29.0,7.0,21.0,26.0,6.0,10.0,23.0,27.0,28.0,12.0,19.0,7.0,8.0,17.0,12.0,17.0,40.0,30.0,4.0,16.0,13.0,19.0,22.0,28.0,23.0,25.0,8.0,24.0,3.0,34.0,15.0,17.0,5.0,11.0,18.0,36.0,21.0,33.0,25.0,11.0,27.0,4.0,16.0,19.0,9.0,21.0,21.0,18.0,9.0,22.0,1.0,18.0,25.0,30.0,18.0,25.0,21.0,18.0,27.0,28.0,7.0,10.0,15.0,23.0,15.0,28.0,19.0,20.0,22.0,32.0,13.0,12.0,5.0,11.0,19.0,12.0,15.0,21.0,24.0,12.0,22.0,28.0,8.0,15.0,13.0,14.0,9.0,52.0,16.0,38.0,21.0,11.0,16.0,24.0,10.0,26.0,7.0,13.0,24.0,10.0,33.0,24.0,22.0,7.0,23.0,21.0,17.0,11.0,17.0,25.0,23.0,15.0,9.0,17.0,13.0,27.0,22.0,20.0,10.0,9.0,15.0,25.0,23.0,4.0,16.0,18.0,20.0,30.0,9.0,18.0,17.0,32.0,8.0,17.0,43.0,25.0,22.0,20.0,7.0,18.0,16.0,23.0,19.0,14.0,7.0,25.0,13.0,14.0,1
1,22.0,24.0,27.0,14.0,14.0,19.0,108.0,35.0,21.0,21.0,24.0,15.0,36.0,7.0,13.0,12.0,23.0,17.0,24.0,27.0,8.0,8.0,32.0,11.0,22.0,29.0,18.0,37.0,22.0,12.0,4.0,35.0,18.0,17.0,10.0,16.0,24.0,20.0,23.0,19.0,18.0,15.0,17.0,20.0,30.0,23.0,15.0,26.0,29.0,33.0,17.0,11.0,10.0,33.0,24.0,29.0,20.0,52.0,10.0,23.0,26.0,38.0,9.0,63.0,23.0,40.0,19.0,30.0,20.0,26.0,18.0,36.0,10.0,7.0,14.0,25.0,14.0,14.0,29.0,11.0,38.0,9.0,20.0,32.0,22.0,32.0,15.0,14.0,12.0,49.0,10.0,40.0,19.0,24.0,17.0,6.0,4.0,33.0,6.0,17.0,39.0,10.0,13.0,54.0,29.0,12.0,25.0,71.0,25.0,13.0,23.0,34.0,31.0,21.0,6.0,13.0,17.0,18.0,15.0,22.0,2.0,16.0,7.0,21.0,34.0,8.0,20.0,26.0,19.0,27.0,38.0,18.0,19.0,40.0,18.0,27.0,23.0,36.0,12.0,25.0,11.0,17.0,9.0,12.0,21.0,17.0,10.0,23.0,33.0,18.0,1
2,28.0,27.0,34.0,15.0,17.0,19.0,117.0,40.0,31.0,18.0,16.0,9.0,23.0,4.0,7.0,12.0,17.0,27.0,53.0,28.0,9.0,15.0,18.0,10.0,15.0,23.0,20.0,23.0,7.0,19.0,0.0,51.0,12.0,19.0,7.0,16.0,19.0,45.0,20.0,30.0,15.0,17.0,23.0,17.0,35.0,25.0,10.0,29.0,28.0,30.0,14.0,33.0,10.0,38.0,21.0,30.0,19.0,84.0,15.0,13.0,22.0,60.0,7.0,37.0,15.0,49.0,24.0,37.0,14.0,24.0,14.0,41.0,6.0,23.0,8.0,14.0,18.0,10.0,21.0,17.0,23.0,8.0,11.0,23.0,12.0,45.0,18.0,16.0,18.0,66.0,13.0,33.0,20.0,20.0,15.0,33.0,9.0,40.0,8.0,18.0,21.0,9.0,15.0,94.0,21.0,13.0,23.0,56.0,18.0,10.0,24.0,40.0,22.0,21.0,17.0,23.0,16.0,15.0,21.0,18.0,10.0,14.0,15.0,27.0,30.0,8.0,16.0,24.0,26.0,19.0,114.0,24.0,19.0,31.0,5.0,18.0,25.0,23.0,8.0,18.0,20.0,16.0,7.0,24.0,17.0,16.0,7.0,32.0,27.0,11.0,1
3,5.0,5.0,5.0,1.0,8.0,1.0,10.0,4.0,6.0,15.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,8.0,0.0,4.0,5.0,8.0,7.0,9.0,14.0,7.0,3.0,11.0,0.0,2.0,1.0,3.0,12.0,2.0,5.0,4.0,17.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,10.0,8.0,9.0,11.0,1.0,1.0,1.0,3.0,4.0,10.0,2.0,3.0,24.0,4.0,17.0,2.0,2.0,3.0,14.0,12.0,4.0,4.0,2.0,1.0,4.0,4.0,0.0,17.0,1.0,4.0,3.0,5.0,1.0,2.0,18.0,2.0,2.0,0.0,2.0,9.0,8.0,3.0,3.0,2.0,0.0,1.0,0.0,7.0,3.0,21.0,5.0,4.0,2.0,14.0,1.0,0.0,5.0,4.0,13.0,2.0,7.0,7.0,2.0,2.0,2.0,5.0,13.0,12.0,6.0,6.0,1.0,8.0,1.0,6.0,17.0,1.0,10.0,3.0,9.0,5.0,7.0,1.0,2.0,6.0,1.0,7.0,2.0,7.0,1.0,3.0,4.0,5.0,3.0,4.0,1.0,4.0,2.0,5.0,6.0,5.0,0.0,4.0,3.0,3.0,1
4,12.0,10.0,16.0,7.0,7.0,5.0,0.0,16.0,24.0,27.0,8.0,13.0,12.0,3.0,6.0,11.0,16.0,16.0,11.0,17.0,5.0,7.0,17.0,10.0,14.0,17.0,18.0,22.0,5.0,15.0,1.0,29.0,10.0,14.0,17.0,10.0,12.0,12.0,17.0,16.0,24.0,9.0,12.0,8.0,5.0,19.0,15.0,14.0,13.0,15.0,13.0,8.0,5.0,4.0,14.0,13.0,8.0,12.0,13.0,11.0,32.0,24.0,11.0,19.0,17.0,15.0,10.0,9.0,13.0,10.0,12.0,15.0,3.0,11.0,8.0,9.0,5.0,11.0,13.0,13.0,16.0,8.0,13.0,15.0,10.0,15.0,15.0,14.0,8.0,7.0,6.0,16.0,11.0,9.0,11.0,15.0,1.0,18.0,6.0,13.0,14.0,7.0,15.0,14.0,31.0,3.0,20.0,15.0,16.0,10.0,8.0,11.0,29.0,11.0,3.0,15.0,10.0,12.0,9.0,18.0,6.0,8.0,6.0,11.0,11.0,2.0,16.0,9.0,9.0,24.0,8.0,13.0,7.0,15.0,8.0,9.0,51.0,31.0,15.0,22.0,4.0,18.0,17.0,4.0,11.0,13.0,1.0,23.0,12.0,8.0,1
5,10.0,11.0,12.0,4.0,5.0,5.0,7.0,14.0,3.0,18.0,7.0,3.0,11.0,1.0,5.0,8.0,5.0,4.0,13.0,18.0,6.0,1.0,20.0,5.0,6.0,14.0,6.0,28.0,3.0,12.0,0.0,22.0,4.0,8.0,11.0,3.0,17.0,7.0,11.0,9.0,13.0,5.0,9.0,1.0,5.0,11.0,6.0,5.0,18.0,7.0,2.0,12.0,2.0,15.0,14.0,3.0,10.0,29.0,8.0,4.0,16.0,12.0,7.0,16.0,9.0,23.0,8.0,15.0,5.0,17.0,8.0,16.0,1.0,2.0,4.0,12.0,4.0,4.0,14.0,9.0,16.0,3.0,7.0,13.0,7.0,7.0,5.0,3.0,4.0,28.0,2.0,15.0,9.0,4.0,5.0,12.0,4.0,10.0,2.0,5.0,7.0,5.0,8.0,9.0,11.0,1.0,17.0,5.0,6.0,4.0,3.0,18.0,23.0,10.0,3.0,9.0,7.0,9.0,8.0,10.0,1.0,1.0,8.0,8.0,13.0,2.0,13.0,9.0,14.0,14.0,16.0,9.0,13.0,7.0,4.0,8.0,10.0,29.0,7.0,33.0,2.0,6.0,3.0,9.0,6.0,4.0,2.0,9.0,7.0,11.0,1
6,19.0,16.0,7.0,7.0,16.0,9.0,2.0,13.0,25.0,20.0,34.0,7.0,12.0,3.0,4.0,10.0,13.0,13.0,17.0,15.0,4.0,5.0,14.0,11.0,21.0,20.0,18.0,23.0,6.0,14.0,7.0,32.0,6.0,23.0,7.0,8.0,20.0,28.0,20.0,15.0,17.0,8.0,17.0,5.0,6.0,10.0,9.0,21.0,10.0,14.0,9.0,22.0,3.0,12.0,17.0,14.0,14.0,20.0,15.0,7.0,30.0,28.0,5.0,6.0,10.0,27.0,13.0,21.0,16.0,16.0,12.0,44.0,6.0,11.0,8.0,5.0,23.0,7.0,17.0,12.0,14.0,5.0,14.0,38.0,9.0,11.0,9.0,5.0,3.0,28.0,12.0,18.0,12.0,8.0,18.0,23.0,10.0,20.0,10.0,10.0,21.0,12.0,14.0,23.0,20.0,3.0,14.0,13.0,14.0,6.0,13.0,27.0,20.0,12.0,8.0,14.0,11.0,13.0,22.0,14.0,11.0,7.0,14.0,5.0,20.0,2.0,14.0,18.0,11.0,23.0,10.0,19.0,18.0,21.0,10.0,14.0,26.0,21.0,19.0,24.0,6.0,17.0,6.0,15.0,8.0,13.0,6.0,24.0,7.0,19.0,1
7,32.0,41.0,47.0,23.0,29.0,28.0,138.0,37.0,54.0,53.0,45.0,18.0,36.0,17.0,10.0,32.0,35.0,35.0,100.0,48.0,9.0,34.0,19.0,31.0,21.0,42.0,43.0,48.0,19.0,49.0,24.0,61.0,24.0,32.0,99.0,29.0,45.0,52.0,42.0,39.0,36.0,25.0,37.0,24.0,36.0,41.0,33.0,31.0,45.0,44.0,17.0,34.0,22.0,54.0,53.0,39.0,35.0,108.0,51.0,31.0,29.0,113.0,25.0,32.0,30.0,73.0,39.0,65.0,24.0,67.0,28.0,61.0,22.0,32.0,20.0,20.0,30.0,27.0,32.0,39.0,19.0,10.0,28.0,98.0,29.0,46.0,30.0,21.0,15.0,92.0,17.0,77.0,44.0,17.0,42.0,36.0,10.0,61.0,24.0,26.0,39.0,31.0,50.0,68.0,42.0,20.0,51.0,59.0,22.0,23.0,33.0,41.0,42.0,61.0,17.0,41.0,49.0,29.0,49.0,51.0,18.0,25.0,34.0,42.0,44.0,9.0,26.0,36.0,45.0,48.0,241.0,34.0,31.0,27.0,20.0,31.0,61.0,50.0,37.0,32.0,15.0,22.0,25.0,31.0,35.0,28.0,4.0,39.0,38.0,38.0,1
8,26.0,25.0,11.0,7.0,12.0,7.0,22.0,20.0,22.0,13.0,7.0,6.0,15.0,2.0,2.0,4.0,20.0,10.0,9.0,19.0,5.0,8.0,16.0,0.0,19.0,18.0,21.0,16.0,9.0,13.0,0.0,11.0,3.0,12.0,1.0,12.0,7.0,4.0,16.0,8.0,9.0,7.0,7.0,5.0,20.0,14.0,5.0,18.0,18.0,27.0,7.0,2.0,6.0,16.0,12.0,14.0,16.0,25.0,20.0,7.0,34.0,20.0,5.0,15.0,15.0,18.0,11.0,21.0,12.0,14.0,9.0,10.0,3.0,4.0,2.0,7.0,8.0,11.0,16.0,11.0,17.0,6.0,6.0,13.0,15.0,14.0,13.0,5.0,7.0,18.0,9.0,8.0,8.0,18.0,13.0,25.0,1.0,13.0,3.0,10.0,18.0,1.0,6.0,37.0,25.0,3.0,3.0,20.0,13.0,5.0,6.0,20.0,20.0,12.0,6.0,16.0,10.0,11.0,11.0,23.0,12.0,6.0,9.0,8.0,16.0,6.0,21.0,17.0,9.0,10.0,15.0,13.0,10.0,22.0,9.0,11.0,31.0,13.0,4.0,9.0,4.0,17.0,8.0,11.0,12.0,12.0,2.0,16.0,23.0,12.0,1
9,16.0,17.0,21.0,7.0,11.0,11.0,1.0,14.0,20.0,23.0,26.0,13.0,4.0,6.0,32.0,11.0,14.0,15.0,14.0,18.0,8.0,15.0,6.0,5.0,9.0,16.0,15.0,10.0,4.0,13.0,3.0,20.0,12.0,14.0,4.0,9.0,9.0,19.0,28.0,14.0,14.0,18.0,13.0,9.0,8.0,27.0,9.0,12.0,20.0,22.0,13.0,18.0,7.0,11.0,21.0,17.0,10.0,15.0,12.0,7.0,24.0,27.0,4.0,4.0,11.0,12.0,5.0,14.0,15.0,19.0,10.0,14.0,2.0,10.0,19.0,4.0,13.0,8.0,20.0,14.0,13.0,6.0,12.0,15.0,2.0,13.0,11.0,7.0,13.0,91.0,8.0,19.0,21.0,14.0,17.0,30.0,7.0,12.0,12.0,12.0,19.0,14.0,12.0,20.0,20.0,17.0,17.0,6.0,8.0,14.0,15.0,13.0,25.0,29.0,8.0,14.0,13.0,8.0,23.0,21.0,23.0,11.0,11.0,11.0,13.0,11.0,7.0,20.0,17.0,17.0,6.0,15.0,10.0,16.0,7.0,16.0,15.0,14.0,6.0,12.0,3.0,11.0,17.0,16.0,11.0,17.0,8.0,19.0,10.0,10.0,1
